symptom,condition,description,recommended_medicine,dosage,precautions,when_to_seek_emergency
nocturnal breathlessness,Paroxysmal Nocturnal Dyspnea,Sudden shortness of breath waking from sleep due to heart failure,"Furosemide, Lisinopril, elevate head of bed","Furosemide 40-80mg in morning, Lisinopril 10-40mg daily","Sleep with head elevated, avoid fluids before bed, monitor weight daily","Acute episode with pink frothy sputum is pulmonary edema emergency"
orthostatic dizziness,Postural Hypotension,Dizziness upon standing due to blood pressure drop,"Midodrine, Fludrocortisone, compression stockings","Midodrine 5-10mg three times daily, Fludrocortisone 0.1mg daily","Rise slowly, stay hydrated, avoid hot environments, increase salt intake","If fainting or falling, immediate medical evaluation needed"
exercise intolerance,Reduced Cardiac Output,Inability to perform physical activity due to heart limitation,"Carvedilol, Lisinopril, cardiac rehabilitation","Carvedilol 6.25-25mg twice daily, Lisinopril 10-40mg daily","Gradual exercise increase, supervised cardiac rehab, monitor symptoms","Worsening exercise tolerance or new symptoms during activity needs urgent evaluation"
ankle swelling evening,Venous Insufficiency,Leg swelling worse at end of day related to heart or vein problems,"Furosemide, compression stockings, leg elevation","Furosemide 20-40mg morning dose, compression stockings 20-30mmHg","Elevate legs above heart level, avoid prolonged standing, reduce sodium","If one leg more swollen than other with pain, could be blood clot - seek emergency care"
morning headache,Nocturnal Hypertension,High blood pressure during sleep causing morning headaches,"Amlodipine at bedtime, Lisinopril","Amlodipine 5-10mg at bedtime, Lisinopril 10-20mg bedtime dosing","Monitor blood pressure in morning, sleep apnea screening, weight loss if obese","Severe headache with vision changes or neurological symptoms requires emergency evaluation"
cold extremities,Poor Circulation,Cold hands and feet due to reduced peripheral blood flow,"Amlodipine, Cilostazol, lifestyle modifications","Amlodipine 5-10mg daily, Cilostazol 50-100mg twice daily","Keep extremities warm, avoid smoking, regular exercise","If associated with pain, color changes, or wounds, vascular evaluation needed"
syncope,Fainting,Loss of consciousness due to temporary reduced brain blood flow,"Depends on cause - Midodrine, Fludrocortisone, or pacemaker","Midodrine 5-10mg TID if vasovagal, pacemaker if cardiac cause","Stay hydrated, avoid triggers, medical alert bracelet","Any unexplained fainting requires immediate medical evaluation to rule out cardiac cause"
exertional dyspnea,Exercise-Induced Breathlessness,Shortness of breath with physical activity indicating cardiac limitation,"Metoprolol, Lisinopril, Furosemide if fluid overload","Metoprolol 50-100mg twice daily, Lisinopril 10-40mg daily","Gradual activity increase, cardiac rehab, avoid overexertion","Progressive worsening or dyspnea at rest requires urgent cardiology consultation"
pounding heartbeat,Strong Heart Palpitations,Forceful or pounding sensation of heartbeat,"Metoprolol, Propranolol, stress management","Metoprolol 25-50mg twice daily, Propranolol 10-40mg twice daily","Reduce caffeine alcohol stress, relaxation techniques, adequate sleep","If associated with chest pain, syncope, or family history of sudden death, urgent evaluation needed"
cardiac cough,Heart Failure Cough,Persistent cough especially when lying down due to fluid congestion,"Furosemide, Lisinopril, elevate head during sleep","Furosemide 40-80mg daily, Lisinopril 20-40mg daily","Sleep with elevated head, monitor for pink sputum, daily weights","Cough with pink frothy sputum or severe breathlessness is pulmonary edema - call 911"
nausea with exertion,Cardiac Ischemia,Nausea or indigestion during physical activity may indicate angina,"Nitroglycerin, Aspirin, Metoprolol, Atorvastatin","Nitroglycerin 0.4mg sublingual PRN, Aspirin 81mg daily, Metoprolol 50mg twice daily","Women may have atypical symptoms, carry nitroglycerin, stop activity if occurs","Persistent nausea with chest discomfort or sweating requires emergency evaluation"
jaw pain exertion,Referred Cardiac Pain,Jaw or teeth pain during activity may indicate heart problem,"Nitroglycerin, Aspirin, urgent cardiology evaluation","Nitroglycerin 0.4mg sublingual for symptoms, Aspirin 81mg daily","Atypical cardiac symptom especially in women, needs stress test evaluation","Jaw pain with chest discomfort, sweating, or shortness of breath - call 911 immediately"
left arm pain,Radiating Cardiac Pain,Left arm discomfort or pain may indicate cardiac ischemia,"Nitroglycerin, Aspirin, Metoprolol, emergency evaluation","Aspirin 325mg chewable if acute, Nitroglycerin 0.4mg sublingual, call 911","Classic heart attack symptom, do not ignore, immediate action required","Left arm pain with chest symptoms is potential heart attack - emergency services immediately"
indigestion persistent,Cardiac Dyspepsia,Persistent indigestion or heartburn may mask cardiac issues,"Rule out cardiac cause first, then Nitroglycerin trial vs antacids","If cardiac: Aspirin 81mg daily, Nitroglycerin PRN; if GI: antacids as needed","Cardiac symptoms can mimic indigestion especially in women and diabetics","Indigestion with exertion, sweating, or radiation requires cardiac evaluation not just antacids"
weakness generalized,Cardiac Deconditioning,Overall weakness and fatigue due to poor cardiac function,"Carvedilol, Lisinopril, cardiac rehabilitation, iron if deficient","Carvedilol 3.125-25mg twice daily, Lisinopril 10-40mg daily","Gradual exercise program, nutritional support, monitor hemoglobin","Sudden severe weakness with other cardiac symptoms requires immediate medical attention"
back pain sudden,Aortic Dissection Warning,Sudden severe back or chest pain may indicate aortic emergency,"IMMEDIATE EMERGENCY - hospitalization, blood pressure control","Emergency IV beta-blockers and vasodilators, surgical consultation urgent","Life-threatening emergency, tearing or ripping pain, very high mortality","Sudden severe chest or back pain with radiation - call 911 immediately, do not delay"
salt craving,Mineralocorticoid Deficiency,May indicate electrolyte imbalance affecting heart rhythm,"Fludrocortisone, electrolyte supplementation, salt tablets","Fludrocortisone 0.1-0.2mg daily, salt tabs 1-2g with meals","Check aldosterone levels, monitor blood pressure, can worsen heart failure","Unexplained salt craving with cardiac symptoms needs endocrine and cardiac workup"
nighttime urination,Nocturia from Heart Failure,Frequent nighttime urination due to fluid redistribution from heart failure,"Furosemide in morning not evening, fluid restriction after 6pm","Furosemide 40-80mg in morning, avoid evening dosing to prevent nocturia","Time diuretics appropriately, limit evening fluids, monitor for dehydration","If associated with shortness of breath or swelling, heart failure exacerbation needs evaluation"
weight gain rapid,Fluid Retention,Sudden weight gain indicating fluid accumulation from heart failure,"Increase Furosemide dose, restrict sodium and fluids","Furosemide 40-120mg daily adjusted to response, sodium under 2g daily","Daily morning weights, call doctor if gain over 2-3 pounds in 1-2 days","Weight gain over 5 pounds in one week with breathing difficulty requires urgent medical care"
abdominal swelling,Ascites from Heart Failure,Abdominal fluid accumulation from severe heart failure or liver congestion,"Furosemide, Spironolactone, salt restriction","Furosemide 80-160mg daily, Spironolactone 50-100mg daily","Measure abdominal girth, severe sodium restriction, may need paracentesis","Tense ascites with breathing difficulty or hepatic encephalopathy requires hospitalization"
bluish lips,Cyanosis,Blue discoloration indicating poor oxygenation from cardiac or pulmonary cause,"Oxygen therapy, treat underlying heart failure or congenital heart disease","Oxygen 2-4L/min to maintain saturation over 90%, treat heart failure aggressively","Check oxygen saturation, may indicate severe cardiac decompensation","Central cyanosis with respiratory distress is medical emergency requiring immediate care"
clubbed fingers,Chronic Hypoxemia,Fingertip enlargement from chronic low oxygen often from heart disease,"Treat underlying cardiac disease, oxygen if needed","Management depends on cause - heart failure treatment or surgical repair","Sign of chronic cardiac or pulmonary disease, needs complete cardiac workup","New clubbing with worsening symptoms requires comprehensive cardiac evaluation"
distended neck veins,Elevated Jugular Venous Pressure,Visible neck vein distension indicating elevated right heart pressures,"Furosemide, treat right heart failure or tricuspid regurgitation","Furosemide 40-80mg daily, may need increased doses for right heart failure","Sign of volume overload or right heart dysfunction, needs echocardiogram","Distended neck veins with hypotension may indicate cardiac tamponade - emergency"
confusion elderly,Cardiac-related Altered Mental Status,Confusion in elderly may indicate reduced cardiac output or medication effect,"Review medications, optimize heart failure treatment, check electrolytes","Adjust diuretic doses, check digoxin level if applicable, correct electrolytes","Can indicate poor cardiac output, medication toxicity, or electrolyte disturbance","Acute confusion with cardiac symptoms requires emergency evaluation for stroke or heart attack"
restlessness,Cardiac Anxiety,Anxiety and restlessness may indicate poor oxygenation or heart failure,"Treat underlying heart condition, anxiolytics if appropriate after cardiac stable","Optimize heart failure medications first, consider low-dose benzodiazepine if needed","Rule out cardiac cause before treating as primary anxiety disorder","Severe restlessness with chest pain or breathing difficulty requires emergency assessment"
decreased appetite,Cardiac Cachexia,Loss of appetite due to advanced heart failure or medication effects,"Optimize heart failure medications, nutritional support, small frequent meals","Continue cardiac medications, add nutritional supplements, anti-nausea if needed","May indicate advanced heart failure, medication side effect, or depression","Significant weight loss with worsening cardiac symptoms needs urgent medical evaluation"
frequent hiccups,Vagal Stimulation,Persistent hiccups may indicate cardiac irritation or phrenic nerve involvement,"Treat underlying cause, metoclopramide or baclofen if persistent","Metoclopramide 10mg before meals, baclofen 5-10mg three times daily","Can indicate MI, pericarditis, or esophageal issues with cardiac involvement","Hiccups with chest pain or after cardiac procedure requires immediate medical attention"
